Artistas,Link,Descripción,Responsable,Produción
Himno Nacional Colombiano - Mas de 100 Años por Oreste Sindici,https://www.ivoox.com/especiales-himno-nacional-colombiano-mas-de-audios-mp3_rf_73444190_1.html,"El 18 de octubre de 1920 el Congreso de la República de Colombia oficializó a través de la ley 33, el Himno Nacional de la República de Colombia como símbolo patrio. En conversación con el maestro Jaime Marín Ocampo, quien ha realizado una investigación sobre algunos aspectos relevantes con relación a la historia y creación del mismo, surgieron algunas preguntas, a medida que recopilaba información a través de los medios escritos como revistas, prensa, medios audiovisuales, conferencias y naturalmente libros de historiadores y biografías de sus principales protagonistas.",No aplica,No aplica
Lucas Saboya desde Cartagena,https://co.ivoox.com/es/fusion-colombia-lucas-saboya-desde-cartagena-audios-mp3_rf_47436139_1.html,"Por una noche el tiple (instrumento típico de las músicas tradicionales del interior de Colombia) fue protagonista en la más reciente edición del Festival Internacional de Música de Cartagena que se realizó del 4 al 12 de enero de 2020. / La obra: ""Concierto para tiple y orquesta de cuerda"" con el acompañamiento de la Orquesta de Cámara de Colombia bajo la dirección de Federico Hoyos. / El creador : Lucas Saboya, maestro virtuoso del tiple en Colombia. / La cita: la noche del viernes 10 enero en el Centro de Convenciones, Auditorio Getsemaní, dentro de la serie de conciertos Suena Suramérica, sonidos del nuevo mundo en diálogo con las tradiciones sinfónicas de Europa. / Todo un deleite de improvisación y de encuentros de las formas populares y clásicas de la música universal.",No aplica,No aplica
Escuche a continuación la conversación con el autor de esta obra y su trayectoria de 25 años en la música instrumental colombiana del interior como solista y con el trío Palos y cuerdas. Entrevista desde Cartagena momentos previos a la presentación de un concierto que puede considerarse desde ya como parte del acervo académico de la música colombiana con elementos de lo popular,"en esta ocasión de los Andes colombianos. / Agradecimiento muy especial a la Fundación Salvi por la invitación y hacer posible este tipo de espectáculos en nuestro país.""",David Vargas,Productor: Luz Mery Bermúdez,No aplica
Dub de Gaita de los Gaiteros de San Jacinto,https://co.ivoox.com/es/fusion-colombia-dub-gaita-los-audios-mp3_rf_48872570_1.html,"Gaiteros de San Jacinto, sus más recientes éxitos, álbum dub de gaita.",David Vargas,Productor: Luz Mery Bermúdez
Estreno 2020 Pereira,https://co.ivoox.com/es/fusion-colombia-estreno-2020-pereira-audios-mp3_rf_48872175_1.html,"Movida regional de los sonidos contemporáneos de nuestro país, estrenos musicales del año 2020 en nuestra región.",David Vargas,Productor: Luz Mery Bermúdez
Sidetepper 2003,https://co.ivoox.com/es/fusion-colombia-sidetepper-2003-audios-mp3_rf_48871943_1.html,"Clásicos de las nuevas músicas colombianas, Sidetepper es el invitado en este programa.",David Vargas,Productor: Luz Mery Bermúdez
Fania Chapinero Salsa y Nuevas Musicas Colombianas,https://co.ivoox.com/es/fusion-colombia-fania-chapinero-salsa-nuevas-musicas-audios-mp3_rf_48871654_1.html,"La Fania a ritmo de las nuevas músicas colombianas, homenaje a varios artistas.",David Vargas,Productor: Luz Mery Bermúdez
Los Gaiteros de San Jacinto segundo programa,https://co.ivoox.com/es/fusion-colombia-los-gaiteros-san-jacinto-audios-mp3_rf_48871209_1.html,"Segundo programa dedicado a los Gaiteros de San Jacinto, en especial a Catalino Parra.",David Vargas,Productor: Luz Mery Bermúdez
Artistas Regionales,https://co.ivoox.com/es/fusion-colombia-artistas-regionales-audios-mp3_rf_51700737_1.html,Fusión Colombia presenta los nuevos trabajos de artistas Risaraldenses/Diego Duque - Dont turn around/Jhon montoya - Otun/Miguel angel lous - El secreto/Miguel angel lous - Happy bird/ Realizador: Alejandro Patiño Sanches,David Vargas,Productor: Luz Mery Bermúdez
Retrofonia y Granuna(RapMedellin),https://co.ivoox.com/es/fusion-colombia-retrofonia-granuja-rapmedellin-audios-mp3_rf_51701196_1.html,"En este episodio de Fusión Colombia conoceremos nuevas entregas del año 2019, las que escucharan son canciones de los siguientes álbumes/Retrofonia - Relatos citadinos/Granuja - Vergüenza propia/ Realizador: Alejandro Patiño Sanches",David Vargas,Productor: Luz Mery Bermúdez
