Artistas,Link,Descripción,Responsable,Produción
Amparo Ochoa,Cantautora -  Mexicana – 4Julio,https://co.ivoox.com/es/amparo-ochoa-cantautora-mexicana-8211-4julio-audios-mp3_rf_54664581_1.html,"Amparo Ochoa, Cantautora -  Mexicana – 4Julio",No aplica
En 1965 participó y ganó un concurso en su ciudad natal,"con la canción llamada """"Hermosísimo Lucero"""". Desde entonces empleó la música para defender temas sociales",tanto mexicanos como del resto de Latinoamérica.,No aplica,No aplica
EL poeta Mexicano Elías Nandino,desde una cantidad escribe esta gran obra literaria.,No aplica,No aplica,No aplica
Desde muy pequeña,destacó cantando en casa junto a su padre Don Chano y en los actos escolares.,No aplica,No aplica,No aplica
"Escucharemos a Ismael Rodríguez Gómez. Viajero y amante de las bicicletas""",Efrain Cardona Gaviria,El Viaje – 12/Mayo,No aplica,No aplica
"Nandino cercano al grupo Mexicano Contemporáneos.""",Efrain Cardona Gaviria,El poeta Mexicano Elías Nandino - Bolero Usted,No aplica,No aplica
"Leeremos una serie de cartas famosas.""",Efrain Cardona Gaviria,Cartas Famosas 21Julio,No aplica,No aplica
"Directora: Diana Vega""",Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez,No aplica,No aplica
10 Cartas Famosas - Revista Colombia Arcadia. 14Julio,https://co.ivoox.com/es/10-cartas-famosas-revista-colombia-arcadia-14julio-audios-mp3_rf_54661524_1.html,10 Cartas Famosas - Revista Colombia Arcadia. 14Julio,No aplica,No aplica
La Alquimia – 19/Mayo,https://co.ivoox.com/es/alquimia-19-mayo-audios-mp3_rf_51917660_1.html,La alquimia como el conjunto de especulaciones y experiencias generalmente de carácter esotérico relativas a las transmutaciones de la materia que influyo en el origen de la ciencia química tuvo como fines principales la búsqueda de la piedra filosofal y de la panacea universal.,Efrain Cardona Gaviria,La Alquimia – 19/Mayo
Ana de Sousa  - Reina de Angola. 28Julio,https://co.ivoox.com/es/ana-sousa-reina-angola-28julio-audios-mp3_rf_54661582_1.html,Ana de Sousa  - Reina de Angola. 28Julio,No aplica,No aplica
Baúl de Cartas - Aeroplano Vickers Vimy,https://co.ivoox.com/es/baul-cartas-aeroplano-vickers-vimy-audios-mp3_rf_48700467_1.html,"Durante el programa se hace mención del aeroplano conocido como ""Vickers Vimy"" que fue diseñado como bombardero durante la primera guerra mundial y haciendo énfasis al histórico vuelo trasatlántico en 1919 entre Londres y Australia.",Efrain Cardona Gaviria,Baúl de Cartas - Aeroplano Vickers Vimy
Baúl de Cartas - Alejandra Pizarnik,https://co.ivoox.com/es/baul-cartas-alejandra-pizarnik-audios-mp3_rf_49061203_1.html,"Durante este programa, mostramos a través de cartas",No aplica,No aplica
Chavela Vargas,https://co.ivoox.com/es/baul-cartas-chavela-vargas-audios-mp3_rf_53652091_1.html,"En este episodio de Baúl de cartas presentamos a “Chavela Vargas” biografía, pensamiento y rebeldía. /--/Realizador: Sara Gaviria Piedrahita /--/Fecha de emisión: 07/07/2020",Efrain Cardona Gaviria,Chavela Vargas
Baúl de Cartas - La Pereiranidad,https://co.ivoox.com/es/baul-cartas-la-pereiranidad-audios-mp3_rf_44635191_1.html,Pereiranidad - 06/oct/2020,Efrain Cardona Gaviria,Baúl de Cartas - La Pereiranidad
Baúl de Cartas - La Resistencia Italiana,https://co.ivoox.com/es/baul-cartas-la-resistencia-italiana-audios-mp3_rf_50710545_1.html,"En el aniversario número 75 de la caída del fascismo en Italia, el programa tendrá como temática algunos testimonios escritos por personas que vivieron de cerca dichos acontecimientos. Además estará el acompañamiento musical en varias versiones de la canción catalogada como himno de la resistencia partisana ""Bella Ciao"".",Efrain Cardona Gaviria,Baúl de Cartas - La Resistencia Italiana
Baúl de Cartas - Viaje en Tren,https://co.ivoox.com/es/baul-cartas-viaje-tren-audios-mp3_rf_48684050_1.html,Durante el programa se relatan historias dentro de algunos viajes en tren y también haciendo referencia a este importante medio de transporte a través del tiempos.,Efrain Cardona Gaviria,Baúl de Cartas - Viaje en Tren
La Bolsa Amarilla – Lygia Bojunga Nunes – 7/Abril,https://co.ivoox.com/es/bolsa-amarilla-lygia-bojunga-nunes-audios-mp3_rf_51798170_1.html,"Hablaremos de un gallo rebelde, una cometa, una sombrilla y tres deseos creciendo como locos al interior de una bolsa amarilla.",No aplica,No aplica
Bossa Nova – 30/Mayo,https://co.ivoox.com/es/bossa-nova-30-mayo-audios-mp3_rf_51795888_1.html,"El bossa Nova (voz nueva) es una corriente musical brasilera que se extendió por el mundo, y que nace a partir de la crisis política del Brasil, artistas como Cayetano Veloso, Chico Boarque y Antonio Carlos Jobin, Roberto Carlos y Simmone son de los más importantes exponentes del género. Cantautores lleva a ustedes un homenaje alrededor de la música Brasilera y los invita a que soñemos por la oreja.",No aplica,No aplica
Dra. Morelia Pabón Patiño,https://co.ivoox.com/es/cantando-historias-dra-morelia-pabon-patino-audios-mp3_rf_34089209_1.html,"Finalizamos el mes de marzo con la entrevista perfil a una mujer de origen popular, que dedicó 40 años a la docencia, a la investigación y fue Vicerrectora Académica de la UTP hace 20 años: la Dra Morelia Pabón Patiño. Activista del movimiento social por los derechos de la mujer y sindicalista, su nieto de 9 años ya le toma el pelo: ¿«Abuela, tú no te molestas conmigo si yo me vuelvo un poquito neoliberal»? Te invitamos a escuchar su relato de vida, acompañada por mujeres cantoras que eran la banda sonora de las universitarias de los 70.",Efrain Cardona Gaviria,Producción: Luz Mery Bermúdez
Homenaje a Camilo Sexto,https://co.ivoox.com/es/cantando-historias-homenaje-a-camilo-sesto-audios-mp3_rf_41384815_1.html,"Cantantes han existido y hay demasiados, pero artistas de la balada y el pop solo unos pocos son grandes. Vender más de 100 millones de discos y los temas posicionados como #1 en los programas lanzadiscos de radio y listados de revistas, sí eran un indicador fiable de la dimensión de un cantautor. Hoy en #CantandoHistorias el especial «Camilo Sesto, no se calla el cantor porque vive en su obra». Con sus declaraciones en audio, la participación de Camilistas que comparten su experiencia íntima, versiones de sus éxitos en italiano, portugués y castellano.",Efrain Cardona Gaviria,Producción: Luz Mery Bermúdez
Homenaje a Todelar Pereira,https://co.ivoox.com/es/cantando-historias-homenaje-a-todelar-pereira-audios-mp3_rf_39645930_1.html,"Primero fueron los periódicos impresos en papel, ahora la radio AM en Pereira, que desde 1933 hace parte de la vida cotidiana de los habitantes. TODELAR RADIO promovió campañas de toda índole, formó talentos del periodismo, luego consagrados a nivel nacional, está llegando al final de sus días. Por esto el programa #CantandoHistorias ha preparado un reportaje de homenaje y despedida de TODELAR PEREIRA, que, el 31 de julio emitió por última vez su señal y la programación de Radio Única 1480 AM.",Efrain Cardona Gaviria,Producción: Luz Mery Bermúdez
Leonardo Huerta Gutiérrez,https://co.ivoox.com/es/cantando-historias-leonardo-huerta-gutierrez-audios-mp3_rf_47479968_1.html,"Es un académico estudioso que desde este año está al frente de la Secretaría de Educación de Pereira, donde trabaja para enfrentar los problemas sociales, políticos y económicos que confluyen en el sector de la educación. Leonardo Huerta Gutiérrez es Abogado, librepensador y filósofo, candidato a Doctor en Derecho de la Universidad Santo Tomás, aquí nos revela su historia de vida fundamentada en la educación que para él es la clave de la movilidad social y motor del desarrollo humano.",Mildreht Sánchez V,Producción: Luz Mery Bermúdez
María Isabel Mejía Marulanda,https://co.ivoox.com/es/cantando-historias-maria-isabel-mejia-marulanda-audios-mp3_rf_48782392_1.html,"Para conmemorar el Día Internacional de la Mujer, Cantando historias invita a una pereirana que es economista de la Michigan State University, donde también estudió Bellas artes. La página de Congreso visible de la Universidad de los Andes dice que durante los periodos que fue representante a la Cámara y Senadora fue autora de 45 proyectos de ley, entre los que sobresale la 397 de 1997 mediante la cual se creó el Ministerio de Cultura. Se trata de María Isabel Mejía Marulanda, quien acepta contarnos su vida dentro y fuera de los votos, pero no castidad.",Mildreht Sánchez V,Producción: Luz Mery Bermúdez
Mauricio Cardona Ramírez,https://co.ivoox.com/es/cantando-historias-mauricio-cardona-ramirez-audios-mp3_rf_45088474_1.html,"Para conocer el hombre detrás de la voz y los créditos de una transmisión, vale la pena escuchar las confidencias que Mauricio Cardona R. hace hoy en Cantando historias. Reconocimiento a un apasionado hombre de radio, que lleva 22 anos en la RAC formando audiencias y es precursor de los espacios de rock en 97.7 fm.",Mildreht Sánchez V,Producción: Luz Mery Bermúdez
Voces declamadores,https://co.ivoox.com/es/cantando-historias-voces-declamadores-audios-mp3_rf_43240244_1.html,Voces declamadoras en la ciudad de Pereira que siempre han hecho historia y han acompañado a las familias.,Efrain Cardona Gaviria,Producción: Luz Mery Bermúdez
Amparo Ochoa - Homenaje,https://co.ivoox.com/es/cantautores-amparo-ochoa-homenaje-audios-mp3_rf_53651221_1.html,"En este episodio de Cantautores presentamos “Amparo Ochoa - Homenaje” Mexicana Docente rural, entre otras cosas, plasmo su opinión política y critica social en su música. /--/Realizador: Esneider Marin /--/Fecha de emisión: 07/04/2020",David Vargas,Productor: Luz Mery Bermúdez
Inti Illimani,https://co.ivoox.com/es/cantautores-inti-illimani-audios-mp3_rf_50831362_1.html,"El programa en esta ocasión a propósito de la conmemoración del Día Internacional del Trabajo, tuvo como invitados a Jorge y Marcelo Coulon integrantes de la agrupación chilena ""Inti Illimani"" recordando un poco de su historia, anécdotas y su música marcada por la lucha en contra de la represión durante la época de dictaduras en América Latina especialmente en Chile.",Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Carlos Gardel. Cantante Argentino. 31/Marzo.,https://co.ivoox.com/es/carlos-gardel-cantante-argentino-31-marzo-audios-mp3_rf_51795361_1.html,"Hablaremos de Carlos Gardel, cantante, compositor y actor Argentino de origen Francés, aunque algunos dicen que es de origen uruguayo, un personaje que a finales de la época de 1920 era ya un fenómeno universal, desde entonces nunca ha dejado de reconocérsele su papel esencial en el desarrollo y difusión del tango y su condición de gran interprete en la historia del género",Efrain Cardona Gaviria,Carlos Gardel. Cantante Argentino. 31/Marzo.
Cartas Famosas 21Julio,https://co.ivoox.com/es/cartas-famosas-21julio-audios-mp3_rf_54292834_1.html,Cartas Famosas 21Julio,No aplica,No aplica
La epidemia de baile de 1518 – 14/Abril,https://co.ivoox.com/es/epidemia-baile-1518-14-abril-audios-mp3_rf_51798636_1.html,"La epidemia de baile (o la plaga de baile) fue un caso de coreomanía ocurrido en Estrasburgo, una ciudad del Sacro Imperio Romano Germánico (ahora al noreste de Francia), a mediados de 1518.  Una mujer llamada Frau Troffea comenzó a bailar descontroladamente sin poder parar. Diversas personas se unieron a bailar sin descanso durante días y, al cabo de aproximadamente un mes comenzaron a sufrir invalidez en las piernas, ataques epilépticos. La mayoría murió como consecuencia de infartos, derrames y agotamiento. Pero murió bailando.",Efrain Cardona Gaviria,La epidemia de baile de 1518 – 14/Abril
El Feeling Cubano,https://co.ivoox.com/es/feeling-cubano-audios-mp3_rf_51450074_1.html,"El feeling cubano, un recorrido por el bolero cubano de los años 40 a los 60 interpretados por artistas de trayectoria como Sara González, Pablo Milanés y Silvio Rodríguez, así como por los artistas jóvenes de la nueva canción cubana como Martha Campos, Diana Fuentes, Carlos Placeres entre otros",Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
Louis Armstrong – 5/Mayo,https://co.ivoox.com/es/louis-armstrong-5-mayo-audios-mp3_rf_51800044_1.html,"Louis Daniel Armstrongn, también conocido como Satchmo o Pops, fue un trompetista y cantante estadounidense de jazz.",No aplica,No aplica
Luz Stella Gil,https://co.ivoox.com/es/luz-stella-gil-29-mayo-audios-mp3_rf_51796191_1.html,"En Octubre de 2015 se presentó en Pereira la obra Murmullos una versión libre de Pedro Páramo la importante novela de Juan Rulfo en desarrollo del sexto encuentro de lecturas dramáticas organizado por el paso, lo sorprendente esa vez no fue lo real maravilloso del que Rulfo es uno de los precursores en la literatura latinoamericana, sino el hecho que una sola actriz Luz Stella Gil representará a 20 personajes con intensidad asombrosa.,  5 años después, gracias a un proceso de convocatoria pública, que contó con la participación de 40 personas el gobierno de la ciudad designó como nueva  Secretaría de Cultura municipal a Luz Stella Gil, quién se posesionó en el pasado mes de abril.,  Es una profesional en comunicación social de la universidad del valle con maestría comunicación y diseño cultura, l técnica en arte dramático con énfasis en dramaturgia con gran experiencia en la producción cultura y el emprendimiento",Efrain Cardona Gaviria,Producción: Luz Mery Bermúdez
Niccolò Paganini – Violinista Italiano – 21/Abril,https://co.ivoox.com/es/niccolo-paganini-violinista-italiano-21-abril-audios-mp3_rf_51798901_1.html,"Historia de música maldita, pactos de misteriosos y un violinista que desafío lo imposible. Presentaremos la correspondencia del italiano Niccolò Paganini uno de los mejores violinistas de todos los tiempos, tal vez el  mejor, Toda su vida y su historia están rodeada por el misterio de un personaje que se inventó fama y prestigio en leyendas oscuras",Efrain Cardona Gaviria,Niccolò Paganini – Violinista Italiano – 21/Abril
Pedrito Beritán  – 11Julio,https://co.ivoox.com/es/pedrito-beritan-8211-11julio-audios-mp3_rf_54664553_1.html,Pedrito Beritán  – 11Julio,No aplica,No aplica
Pedro Infante. Cantante mexicano. 24/Marzo,https://co.ivoox.com/es/pedro-infante-cantante-mexicano-24-marzo-audios-mp3_rf_51795320_1.html,"Hablaremos de Pedro Infante Cruz, cantante y actor mexicano, uno de los iconos de la época de oro del cine mexicano, así como uno de los representantes de la música ranchera, además piloto.",Efrain Cardona Gaviria,Pedro Infante. Cantante mexicano. 24/Marzo
El poeta Mexicano Elías Nandino - Bolero Usted,https://co.ivoox.com/es/poeta-mexicano-elias-nandino-bolero-usted-audios-mp3_rf_51591955_1.html,"Hablaremos de la historia de La Culpable de todas mis angustia y de todos mis quebrantos, originalmente escrita para un hombre. (Bolero Usted)",No aplica,No aplica
Resistencia – 28/Abril,https://co.ivoox.com/es/resistencia-28-abril-audios-mp3_rf_51799382_1.html,"«Bella ciao» (Adiós, bella, en español) es una canción popular italiana que fue adoptada como un himno de la resistencia antifascista. Fue utilizada por los partisanos italianos entre 1943 y 1945 que formaban parte de la Resistencia italiana, la resistencia de los italianos contra las fuerzas alemanas nazis que ocupaban Italia, y la lucha partidista contra la República Social Italiana fascista y sus aliados nazis.",Efrain Cardona Gaviria,Resistencia – 28/Abril
El Viaje – 12/Mayo,https://co.ivoox.com/es/viaje-12-mayo-audios-mp3_rf_51800344_1.html,"El viaje es la inspiración de muchos para escribir cartas, los paisajes nuevos, las personas y sus culturas nos ofrecen otra forma de vida.",No aplica,No aplica
Aristas - Giovanni Gomez,https://www.ivoox.com/a-giovanni-gomez-03-mar-2021-audios-mp3_rf_75306073_1.html,Aristas - Giovanni Gomez - 03 de Marzo  del 2021,Mildreth Sanchez,Cesar Betancurt
Aristas - Harold Giraldo,https://www.ivoox.com/a-harold-giraldo-17-mar-2021-audios-mp3_rf_75306483_1.html,Aristas - Harold Giraldo - 17 de Marzo del 2021,Mildreth Sanchez,Cesar Betancurt
Aristas - La Cuadra,https://www.ivoox.com/a-la-cuadra-31-mar-2021-audios-mp3_rf_75306914_1.html,Aristas - La Cuadra - 31 de Marzo del 2022,Mildreth Sanchez,Cesar Betancurt
Aristas - Mireya Ospina,https://www.ivoox.com/a-mireya-ospina-10-mar-2021-audios-mp3_rf_75306255_1.html,Aristas - Mireya Ospina - 10 de Marzo del 2021,Mildreth Sanchez,Cesar Betancurt
ARISTAS - Jaime Hernández Gutierrez,https://www.ivoox.com/aristas-11-aniversario-31-anos-rac-audios-mp3_rf_75343230_1.html,Aniversario 31 Años RAC - Jaime Hernández Gutierrez (12 Mayo 2021),Mildreth Sanches,Cesar Betancurt
ARISTAS - Jaime Rico,https://www.ivoox.com/aristas-12-aniversario-31-anos-rac-audios-mp3_rf_75343319_1.html,ARISTAS - Aniversario 31 Años RAC - Jaime Rico (19 Mayo 2021),Mildreth Sanchez,Cesar Betancurt
ARISTAS - Francisco Javier Molina Ossa,https://www.ivoox.com/aristas-13-aniversario-31-anos-rac-audios-mp3_rf_75343440_1.html,ARISTAS - Aniversario 31 Años RAC - Francisco Javier Molina Ossa (26 Mayo 2021),Mildreth Sanchez,Cesar Betancurt
Aristas - Yolmer,https://www.ivoox.com/a-yolmer-24-mar-2021-audios-mp3_rf_75306571_1.html,Aristas - Yolmer - 24 de Marzo del 2021,Mildreth Sanchez,Cesar Betancurt
Baúl de Cartas La Balada de Mulan 08 de Septiembre de 2020,https://www.ivoox.com/balada-mulan-8-sept-2020-audios-mp3_rf_56915784_1.html,La Balada de Mulan 8/Sept/20,Efrain Cardona Gaviria,Baúl de Cartas La Balada de Mulan 08 de Septiembre de 2021
Médica Sandra Liliana Montoya Sepúlveda,https://www.ivoox.com/cantando-historias-medica-sandra-liliana-montoya-sepulveda-audios-mp3_rf_52211480_1.html,"Entrevista con la Mèdica y cirujana de la Universidad del Valle Sandra Liliana Montoya Sepúlveda, Coordinadora de la Asociación de Bipolares Eje Cafetero.",Mildreht Sánchez V,Productor: Luz Mery Bermúdez
Baúl de Cartas Cartas por la Ciudad 02 de Febrero de 2021,https://www.ivoox.com/cartas-ciudad-02-febr-2021-audios-mp3_rf_66678572_1.html,Cartas por la Ciudad - 02/Febr/2021,Efrain Cardona Gaviria,Baúl de Cartas Cartas por la Ciudad 02 de Febrero de 2022
Baúl de Cartas Cartas desde un Encierro 27 de Octubre de 2020,https://www.ivoox.com/cartas-desde-encierro-27-oct-2020-audios-mp3_rf_59894007_1.html,Cartas desde el Encierro - 27/Oct/2020,Efrain Cardona Gaviria,Baúl de Cartas Cartas desde un Encierro 27 de Octubre de 2021
Baúl de Cartas Cartas desde El Rio 03 de Noviembre de 2020,https://www.ivoox.com/cartas-desde-rio-03-nov-2020-audios-mp3_rf_62284436_1.html,Cartas desde el Rio - 03/Nov/2020,Efrain Cardona Gaviria,Baúl de Cartas Cartas desde El Rio 03 de Noviembre de 2021
Baúl de Cartas Cartas en Iglesias 17 de Noviembre de 2020,https://www.ivoox.com/cartas-iglesias-17-nov-2020-audios-mp3_rf_62284657_1.html,Cartas en Iglesias - 17/Nov/2020,Efrain Cardona Gaviria,Baúl de Cartas Cartas en Iglesias 17 de Noviembre de 2021
Baúl de Cartas Cartas de Picasso 19 de Enero de 2021,https://www.ivoox.com/cartas-picasso-19-ene-2021-audios-mp3_rf_66678268_1.html,Cartas de Picasso - 19/Ene/2021,Efrain Cardona Gaviria,Baúl de Cartas Cartas de Picasso 19 de Enero de 2022
Baúl de Cartas Clara Schumann 29 de Septiembre de 2020,https://www.ivoox.com/clara-schumann-29-sept-2020-audios-mp3_rf_59890484_1.html,Clara Schumann - 29/Sept/2020,Efrain Cardona Gaviria,Baúl de Cartas Clara Schumann 29 de Septiembre de 2021
Baul de Cartas - El Diario de Ana Frank - 09 de Febrero de 2021,https://www.ivoox.com/diario-ana-frank-09-febr-2021-audios-mp3_rf_66678683_1.html,El Diario de Ana Frank - 09/Febr/2021,Efrain Cardona Gaviria,Baul de Cartas - El Diario de Ana Frank - 09 de Febrero de 2022
Baúl de Cartas COMPOSITORA Florence Price 20 de Octubre de 2020,https://www.ivoox.com/florence-price-20-oct-2020-audios-mp3_rf_59893122_1.html,FLORENCE PRICE 20/Oct/2020,Efrain Cardona Gaviria,Baúl de Cartas COMPOSITORA Florence Price 20 de Octubre de 2021
Baúl de Cartas El Gran Gastby 26 de Enero de 2021,https://www.ivoox.com/gran-gastby-26-ene-2021-audios-mp3_rf_66678509_1.html,El Gran Gastby - 26/Ene/2021,Efrain Cardona Gaviria,Baúl de Cartas El Gran Gastby 26 de Enero de 2022
Baul de Cartas - Hedy Lamar - 09 de Marzo de 2021,https://www.ivoox.com/hedy-lamar-09-marzo-2021-audios-mp3_rf_69289314_1.html,Hedy Lamar - 09/Marzo/2021,Efrain Cardona Gaviria,Baul de Cartas - Hedy Lamar - 09 de Marzo de 2022
Baúl de Cartas Historia de Esperanzas - Chaplin 12 de Enero de 2021,https://www.ivoox.com/historia-esperanzas-chaplin-12-ene-2021-audios-mp3_rf_66678119_1.html,Historia de Esperanzas - Chaplin - 12/Ene/2021,Efrain Cardona Gaviria,Baúl de Cartas Historia de Esperanzas - Chaplin 12 de Enero de 2022
Baúl de Cartas Historia de truenos y relámpagos 01 de Diciembre de 2020,https://www.ivoox.com/historia-truenos-relampagos-01-dic-2020-audios-mp3_rf_62284817_1.html,Historia de truenos y relámpagos - 01/Dic/2020,Efrain Cardona Gaviria,Baúl de Cartas Historia de truenos y relámpagos 01 de Diciembre de 2021
Ígor Stravinski 4/Agosto,https://www.ivoox.com/igor-stravinski-4-agosto-20-audios-mp3_rf_55267759_1.html,Ígor Stravinski 4/Agosto/20.,Efrain Cardona Gaviria,Ígor Stravinski 4/Agosto
Baúl de Cartas John Tolkien 15 de Septiembre de 2020,https://www.ivoox.com/john-tolkien-15-sept-2020-audios-mp3_rf_56918031_1.html,John Tolkien - 15/Sept/2020,Efrain Cardona Gaviria,Baúl de Cartas John Tolkien 15 de Septiembre de 2021
June Dalziel Almeida 11/Agosto,https://www.ivoox.com/june-dalziel-almeida-cientifica-11-agosto-20-audios-mp3_rf_55600932_1.html,Baúl de Cartas June Dalziel Almeida -11 de Agosto de 2020,Efrain Cardona Gaviria,June Dalziel Almeida 11/Agosto
Baúl de Cartas Muertos incómodos (falta lo que falta) - 30 de Agosto de 2020,https://www.ivoox.com/muertos-incomodos-falta-lo-falta-30-agosto-2020-audios-mp3_rf_55983435_1.html,Muertos incómodos (falta lo que falta) 30/Agosto/2020,Efrain Cardona Gaviria,Baúl de Cartas Muertos incómodos (falta lo que falta) - 30 de Agosto de 2021
Baúl de Cartas Nahuales 06 de Octubre de 2020,https://www.ivoox.com/nahuales-06-oct-2020-audios-mp3_rf_59892031_1.html,Nahuales - 06/Oct/2020,Efrain Cardona Gaviria,Baúl de Cartas Nahuales 06 de Octubre de 2021
Baúl de Cartas Un Hombre de Oriana Fallaci 13 de Octubre de 2020,https://www.ivoox.com/oriana-fallaci-13-oct-2020-audios-mp3_rf_59892367_1.html,Un Hombre de Oriana Fallaci 13 de Octubre de 2020,Efrain Cardona Gaviria,Baúl de Cartas Un Hombre de Oriana Fallaci 13 de Octubre de 2021
Baul de Cartas - Paganini Hijo del Demonio - 02 de Marzo de 2021,https://www.ivoox.com/paganini-hijo-del-demonio-02-marz-2021-audios-mp3_rf_69289234_1.html,Paganini Hijo del Demonio - 02/Marz/2021,Efrain Cardona Gaviria,Baul de Cartas - Paganini Hijo del Demonio - 02 de Marzo de 2022
Baúl de Cartas Las penas del joven Werther 01 de Septiembre de 2020,https://www.ivoox.com/penas-del-joven-werther-1-sept-2020-audios-mp3_rf_56914469_1.html,Las penas del joven Werther 1/Sept/20,Efrain Cardona Gaviria,Baúl de Cartas Las penas del joven Werther 01 de Septiembre de 2021
Baul de Cartas - Recespia Actriz Científica - 23 de Marzo 2021,https://www.ivoox.com/recespia-actriz-cientifica-23-marzo-2021-audios-mp3_rf_69289792_1.html,Recespia Actriz Científica - 23/Marzo/2021,Efrain Cardona Gaviria,Baul de Cartas - Recespia Actriz Científica - 23 de Marzo 2022
Baúl de Cartas La reina del ajedrez 10 de Noviembre de 2020,https://www.ivoox.com/reina-del-ajedrez-10-nov-2020-audios-mp3_rf_62284577_1.html,La Reina del Ajedrez - 10/Nov/2020,Efrain Cardona Gaviria,Baúl de Cartas La reina del ajedrez 10 de Noviembre de 2021
Baúl de Cartas Remedios Varo 24 de Noviembre de 2020,https://www.ivoox.com/remedios-varo-24-nov-2020-audios-mp3_rf_62284724_1.html,Remedios Varo - 24/Nov/2020,Efrain Cardona Gaviria,Baúl de Cartas Remedios Varo 24 de Noviembre de 2021
Baul de Cartas - Richard - Ciencia y Bromas - 23 de Febrero de 2021,https://www.ivoox.com/richard-ciencia-bromas-23-febr-2021-audios-mp3_rf_66678924_1.html,Richard - Ciencia y Bromas - 23/Febr/2021,Efrain Cardona Gaviria,Baul de Cartas - Richard - Ciencia y Bromas - 23 de Febrero de 2022
Baul de Cartas - Sabines - 30 de Marzo de 2021,https://www.ivoox.com/sabines-30-marzo-2021-audios-mp3_rf_69290125_1.html,Sabines - 30/Marzo/2021,Efrain Cardona Gaviria,Baul de Cartas - Sabines - 30 de Marzo de 2022
Baúl de Cartas Sebastian de Belalcazar 22 de Septiembre de 2020,https://www.ivoox.com/sebastian-belalcazar-22-sept-2020-audios-mp3_rf_59890361_1.html,Sebastian de Belalcazar - 22/Sept/2020,Efrain Cardona Gaviria,Baúl de Cartas Sebastian de Belalcazar 22 de Septiembre de 2021
José Fernando Marín,https://www.ivoox.com/tributo-a-jose-fernando-marin-8220-el-flaco-marin-8221-audios-mp3_rf_54900402_1.html,"Entre sus profesiones se destaca la Fotografía, el Teatro, la Historia Local, el Periodismo Cultural, la Teología, y Amistad con damas libres pensadoras.",No aplica,No aplica
Baul de Cartas - Viajar al cielo - 16 de Marzo de 2021,https://www.ivoox.com/viajar-al-cielo-16-marzo-2021-audios-mp3_rf_69289693_1.html,Viajar al cielo - 16/Marzo/2021,Efrain Cardona Gaviria,Baul de Cartas - Viajar al cielo - 16 de Marzo de 2022
Baul de Cartas - Los Viajes de Marco Polo - 29 Diciembre 2020,https://www.ivoox.com/viajes-marco-polo-29-dic-2020-audios-mp3_rf_66678024_1.html,Los Viajes de Marco Polo - 29/Dic/2020,Efrain Cardona Gaviria,Baul de Cartas - Los Viajes de Marco Polo - 29 Diciembre 2021
Baul de Cartas - Zelda Fitzgerald - 16 de Febrero de 2021,https://www.ivoox.com/zelda-fitzgerald-16-febr-2021-audios-mp3_rf_66678792_1.html,Zelda Fitzgerald- 16/Febr/2021,Efrain Cardona Gaviria,Baul de Cartas - Zelda Fitzgerald - 16 de Febrero de 2022
"Programador de la Buhardilla""",Mildreht Sánchez V,Productor: Luz Mery Bermúdez,No aplica,No aplica
Realizador: Esneider Marín,No aplica,No aplica,No aplica,No aplica
Técnico: Luz Mery Bermúdez,No aplica,No aplica,No aplica,No aplica
Pedro Beritán. Joven trovador cubano. Creador aventajado entre sus contemporáneos de generación,,No aplica,No aplica,No aplica
Nació en la Ciudad de Manzanillo,provincia Granma.,No aplica,No aplica,No aplica
Estudios: Estudió en la Escuela Preuniversitaria Vocacional de Ciencias Exactas de la provincia Granma,ubicada en Bayamo y luego regresó a Manzanillo para pasar el Servicio Militar. Se trasladó a La Habana a estudiar Licenciatura en Ciencias Alimentarias en el año 2000,carrera que terminó en el año 2005.,No aplica,No aplica
Irina González – 18Julio,https://co.ivoox.com/es/irina-gonzalez-8211-18julio-audios-mp3_rf_54664511_1.html,Irina González – 18Julio,No aplica,No aplica
Es cantante,compositora y multi –instrumentista.,No aplica,No aplica,No aplica
Amanda Cepero,Trovadora – Actriz,Cantautora Cubana – 25Julio,https://co.ivoox.com/es/amanda-cepero-trovadora-8211-actriz-cantautora-cubana-8211-audios-mp3_rf_54664484_1.html,"Amanda Cepero, Trovadora – Actriz, Cantautora Cubana – 25Julio"
Actriz,cantante y compositora.,No aplica,No aplica,No aplica
Graduada en la especialidad de teatro en la Escuela Nacional de Arte de Cuba (ENA) en el 2005. Desde niña actuó en programas televisivos como Dando Vueltas y la serie Tato y Carmina.,,No aplica,No aplica,No aplica
Se inició como cantante en dúo junto al trovador Ariel Díaz en la Casa de Las Américas. Durante un año condujo para Cubavisión Internacional el programa de trova A guitarra limpia.,,No aplica,No aplica,No aplica
Ha participado en numerosas obras de teatro dirigidas por el suizo Patrick Mohr,Théâtre Spirale de Ginebra,Suiza.,No aplica,No aplica
Ha grabado cinco discos,Floreciendo (2004),No aplica,No aplica,No aplica
Cantautores Ariel Díaz - 1 de Agosto 2020,https://www.ivoox.com/ariel-diaz-trovador-cubano-8211-1-agosto-20-audios-mp3_rf_55273959_1.html,Ariel Díaz Trovador Cubano – 1/Agosto/20,Efrain Cardona Gaviria,Productor: Luz Mery Bermúdez
